category,job_title,Text,experience_years,skills,education
Mobile Developers Resumes,Flutter Developer,"Senior Flutter Developer with 6.1+ years of experience in Mobile Developers.. Proven expertise in Kotlin, App Store, React Native, Swift, Xcode, Git and Google Play.. Educated with Master's in Information Systems from Harvard.. Previously worked at Wipro where I implemented mission-critical solutions.. Spearheaded cloud migration project saving $270K annually. Architected and led implementation of microservices handling 4M daily requests. Led team of 7 engineers delivering critical business solutions. Established engineering best practices adopted across 7 teams. Passionate about building innovative solutions.. Looking for challenging roles where I can leverage my expertise in React Native.",6.1,"REST APIs, Android, iOS, Swift, Flutter",PhD in Computer Science
Mobile Developers Resumes,iOS Developer,"Principal/Leadership iOS Developer with 9.6+ years of experience in Mobile Developers.. Proven expertise in Google Play, Swift, Xcode and Flutter.. Educated with Bachelor's in Electrical Engineering from UC Berkeley.. Previously worked at Dell where I developed high-availability solutions.. Advised C-suite on technology strategy and digital transformation initiatives. Built and managed 35 person engineering organization. Established engineering culture and processes across global teams. Drove 42% revenue growth through technical innovation. Passionate about solving complex problems.. Looking for challenging roles where I can leverage my expertise in Xcode.",9.6,"Kotlin, REST APIs, GraphQL, Android Studio, Firebase, Git, Flutter",Master's in Artificial Intelligence
Data Analysts Resumes,Analytics Engineer,"Mid-Level Analytics Engineer with 4.4+ years of experience in Data Analysts.. Proven expertise in Big Data, Dashboard Creation, SQL, Python, Data Analysis and ETL.. Educated with Bachelor's in Computer Science from Harvard.. Previously worked at PayPal where I managed customer-facing solutions.. Reduced deployment time by 57% through CI/CD pipeline optimization. Mentored 2 junior developers and conducted code reviews. Led development of 5 high-impact features serving 34759+ users. Architected scalable solutions using Data Analysis and ETL. Passionate about mentoring developers.. Looking for challenging roles where I can leverage my expertise in Big Data.",4.4,"Power BI, Excel, Tableau, SQL",Bachelor's in Computer Science
Technical Project Managers Resumes,Product Owner,"Principal/Leadership Product Owner with 8.5+ years of experience in Technical Project Managers.. Proven expertise in Project Management, JIRA, Microsoft Project, Confluence, Communication and Agile.. Educated with Master's in Data Science from Cambridge.. Previously worked at Wells Fargo where I developed high-availability solutions.. Directed technology roadmap for 5 product portfolios. Built and managed 15 person engineering organization. Established engineering culture and processes across global teams. Passionate about driving technical excellence.. Looking for challenging roles where I can leverage my expertise in Microsoft Project.",8.5,"Communication, Scrum, Stakeholder Management, JIRA, Project Management, PMP, Agile, Budgeting",Master's in Data Science
DevOps Engineers Resumes,DevOps Engineer,"Principal/Leadership DevOps Engineer with 17.0+ years of experience in DevOps Engineers.. Proven expertise in CI/CD, AWS, ELK Stack, Helm, Linux, Python and Docker.. Educated with Bachelor's in Mathematics from Oxford.. Previously worked at PayPal where I architected high-availability solutions.. Established engineering culture and processes across global teams. Advised C-suite on technology strategy and digital transformation initiatives. Passionate about mentoring developers.. Looking for challenging roles where I can leverage my expertise in Docker.",17.0,"Ansible, AWS, Helm, Jenkins, Docker, CI/CD",Master's in Information Systems
DevOps Engineers Resumes,DevOps Engineer,"Junior To Mid-Level DevOps Engineer with 2.5+ years of experience in DevOps Engineers.. Proven expertise in Ansible, Prometheus, GCP, ELK Stack, Azure, CI/CD and Kubernetes.. Educated with Master's in Computer Science from Oxford.. Previously worked at Cognizant where I implemented high-availability solutions.. Successfully delivered 12 projects using ELK Stack and GCP. Improved system performance by 20% through optimization. Passionate about mentoring developers.. Looking for challenging roles where I can leverage my expertise in Ansible.",2.5,"Jenkins, CI/CD, Python, Prometheus, Helm, Kubernetes, GCP",PhD in Computer Science
Frontend Developers Resumes,UI/UX Developer,"Senior UI/UX Developer with 7.1+ years of experience in Frontend Developers.. Proven expertise in UI/UX, React, Responsive Design and Webpack.. Educated with Bachelor's in Computer Science from UC Berkeley.. Previously worked at PayPal where I led enterprise-level solutions.. Led team of 6 engineers delivering critical business solutions. Drove technical strategy resulting in 35% increase in team velocity. Established engineering best practices adopted across 8 teams. Architected and led implementation of microservices handling 8M daily requests. Passionate about driving technical excellence.. Looking for challenging roles where I can leverage my expertise in UI/UX.",7.1,"REST APIs, Vue.js, Redux, JavaScript, React, GraphQL, Jest, CSS3",PhD in Computer Science
QA Engineers Resumes,Manual Tester,"Mid-Level Manual Tester with 5.5+ years of experience in QA Engineers.. Proven expertise in JUnit, Performance Testing, JIRA, Test Automation and Agile.. Educated with Bachelor's in Electrical Engineering from UC Berkeley.. Previously worked at Infosys where I led high-availability solutions.. Led development of 4 high-impact features serving 64328+ users. Managed technical debt reduction initiatives saving 105 developer hours monthly. Passionate about solving complex problems.. Looking for challenging roles where I can leverage my expertise in Performance Testing.",5.5,"Manual Testing, Agile, Selenium, JavaScript, PyTest, Regression Testing",Master's in Artificial Intelligence
Mobile Developers Resumes,Flutter Developer,"Mid-Level Flutter Developer with 5.8+ years of experience in Mobile Developers.. Proven expertise in Flutter, Swift, iOS, Mobile UI/UX and REST APIs.. Educated with Self-taught from Carnegie Mellon.. Previously worked at Apple where I developed enterprise-level solutions.. Led development of 3 high-impact features serving 19282+ users. Architected scalable solutions using REST APIs and REST APIs. Reduced deployment time by 33% through CI/CD pipeline optimization. Passionate about driving technical excellence.. Looking for challenging roles where I can leverage my expertise in Flutter.",5.8,"REST APIs, Dart, Android Studio, Swift, Xcode, App Store, Flutter, Google Play",Master's in Artificial Intelligence
Python Developers/Data Engineers Resumes,Data Scientist,"Principal/Leadership Data Scientist with 9.5+ years of experience in Python Developers/Data Engineers.. Proven expertise in Dask, Pandas, AWS, PostgreSQL, Deep Learning and Redis.. Educated with Bachelor's in Electrical Engineering from Georgia Tech.. Previously worked at Salesforce where I architected customer-facing solutions.. Drove 41% revenue growth through technical innovation. Directed technology roadmap for 6 product portfolios. Built and managed 24 person engineering organization. Passionate about solving complex problems.. Looking for challenging roles where I can leverage my expertise in Redis.",9.5,"NumPy, Spark, Dask, SQL, Docker",Master's in Computer Science
Data Analysts Resumes,Business Intelligence Analyst,"Principal/Leadership Business Intelligence Analyst with 14.1+ years of experience in Data Analysts.. Proven expertise in Data Visualization, Excel, Big Data, A/B Testing, Machine Learning and Tableau.. Educated with Master's in Computer Science from Oxford.. Previously worked at Tesla where I led enterprise-level solutions.. Built and managed 32 person engineering organization. Advised C-suite on technology strategy and digital transformation initiatives. Drove 25% revenue growth through technical innovation. Passionate about solving complex problems.. Looking for challenging roles where I can leverage my expertise in Excel.",14.1,"Big Data, Python, NumPy, Dashboard Creation, Tableau",Bachelor's in Computer Science
Python Developers/Data Engineers Resumes,Data Engineer,"Junior To Mid-Level Data Engineer with 2.0+ years of experience in Python Developers/Data Engineers.. Proven expertise in Docker, Redis, Airflow, AWS, PostgreSQL, Dask and Python.. Educated with Master's in Artificial Intelligence from Stanford.. Previously worked at Wells Fargo where I led scalable solutions.. Improved system performance by 18% through optimization. Successfully delivered 6 projects using Dask and AWS. Passionate about driving technical excellence.. Looking for challenging roles where I can leverage my expertise in AWS.",2.0,"Kafka, ETL, Deep Learning, NumPy, Docker, PyTorch, Redis",Master's in Information Systems
QA Engineers Resumes,Manual Tester,"Entry-Level Manual Tester with 1.7+ years of experience in QA Engineers.. Proven expertise in PyTest, JIRA, Regression Testing, Selenium, Python and JavaScript.. Educated with Bachelor's in Computer Science from Carnegie Mellon.. Previously worked at Microsoft where I developed mission-critical solutions.. Completed 3 internships gaining practical industry experience. Developed 2 applications using Selenium and PyTest. Passionate about building innovative solutions.. Looking for challenging roles where I can leverage my expertise in PyTest.",1.7,"Scrum, Performance Testing, Cucumber, JIRA, Agile, JavaScript, SQL, JUnit",Bachelor's in Information Technology
QA Engineers Resumes,Manual Tester,"Entry-Level Manual Tester with 1.4+ years of experience in QA Engineers.. Proven expertise in JIRA, PyTest, Test Automation, Cucumber and Scrum.. Educated with MBA from Stanford.. Previously worked at Google where I managed customer-facing solutions.. Demonstrated proficiency in Test Automation and Cucumber. Completed 3 internships gaining practical industry experience. Passionate about building innovative solutions.. Looking for challenging roles where I can leverage my expertise in Test Automation.",1.4,"JIRA, Python, Manual Testing, Agile, Scrum, SQL",Bachelor's in Electrical Engineering
Frontend Developers Resumes,UI/UX Developer,"Mid-Level UI/UX Developer with 5.0+ years of experience in Frontend Developers.. Proven expertise in JavaScript, HTML5, React and Redux.. Educated with Bachelor's in Electrical Engineering from MIT.. Previously worked at IBM where I architected customer-facing solutions.. Led development of 4 high-impact features serving 22840+ users. Architected scalable solutions using JavaScript and Redux. Mentored 3 junior developers and conducted code reviews. Passionate about driving technical excellence.. Looking for challenging roles where I can leverage my expertise in HTML5.",5.0,"CSS3, GraphQL, REST APIs, JavaScript, Angular, Sass, Responsive Design, Storybook",Bachelor's in Mathematics
Frontend Developers Resumes,UI/UX Developer,"Junior To Mid-Level UI/UX Developer with 3.0+ years of experience in Frontend Developers.. Proven expertise in Vue.js, JavaScript, Angular, React, Webpack and TypeScript.. Educated with Self-taught from Oxford.. Previously worked at Deloitte where I implemented scalable solutions.. Successfully delivered 5 projects using TypeScript and Angular. Improved system performance by 23% through optimization. Collaborated with cross-functional teams on 6 major initiatives. Passionate about building innovative solutions.. Looking for challenging roles where I can leverage my expertise in Webpack.",3.0,"Angular, Redux, Vue.js, Responsive Design, Storybook, REST APIs",Bachelor's in Software Engineering
Backend Developers Resumes,Node.js Developer,"Junior To Mid-Level Node.js Developer with 3.2+ years of experience in Backend Developers.. Proven expertise in REST APIs, Python, Microservices, Spring Boot, Kafka, Docker and AWS.. Educated with Bachelor's in Business Administration from Oxford.. Previously worked at Cognizant where I developed high-availability solutions.. Improved system performance by 12% through optimization. Implemented automated testing resulting in 38% reduction in bugs. Collaborated with cross-functional teams on 6 major initiatives. Successfully delivered 12 projects using Python and Spring Boot. Passionate about driving technical excellence.. Looking for challenging roles where I can leverage my expertise in Kafka.",3.2,"MySQL, Spring Boot, Kafka, Node.js, Django, Microservices",Master's in Information Systems
DevOps Engineers Resumes,AWS Engineer,"Senior AWS Engineer with 6.4+ years of experience in DevOps Engineers.. Proven expertise in Linux, Nginx, Bash, AWS, Kubernetes, Ansible and Prometheus.. Educated with Bachelor's in Computer Science from Carnegie Mellon.. Previously worked at Accenture where I architected mission-critical solutions.. Drove technical strategy resulting in 43% increase in team velocity. Established engineering best practices adopted across 7 teams. Architected and led implementation of microservices handling 2M daily requests. Led team of 9 engineers delivering critical business solutions. Passionate about solving complex problems.. Looking for challenging roles where I can leverage my expertise in Linux.",6.4,"Jenkins, GCP, Terraform, Helm, Grafana, Ansible, Azure",Master's in Data Science
Security Engineers Resumes,Penetration Tester,"Principal/Leadership Penetration Tester with 16.4+ years of experience in Security Engineers.. Proven expertise in Bash, Encryption, Penetration Testing, Firewalls, CISSP and Python.. Educated with MBA from University of Michigan.. Previously worked at EY where I managed high-availability solutions.. Established engineering culture and processes across global teams. Advised C-suite on technology strategy and digital transformation initiatives. Drove 49% revenue growth through technical innovation. Directed technology roadmap for 3 product portfolios. Passionate about driving technical excellence.. Looking for challenging roles where I can leverage my expertise in Python.",16.4,"Python, Encryption, CEH, Network Security, Penetration Testing",Bachelor's in Information Technology
Technical Project Managers Resumes,Scrum Master,"Junior To Mid-Level Scrum Master with 3.3+ years of experience in Technical Project Managers.. Proven expertise in Leadership, Scrum, Communication and Risk Management.. Educated with Master's in Information Systems from Harvard.. Previously worked at Spotify where I led customer-facing solutions.. Improved system performance by 29% through optimization. Collaborated with cross-functional teams on 3 major initiatives. Implemented automated testing resulting in 32% reduction in bugs. Passionate about driving technical excellence.. Looking for challenging roles where I can leverage my expertise in Scrum.",3.3,"Confluence, PMP, Communication, SDLC",Master's in Information Systems
Technical Project Managers Resumes,Agile Coach,"Principal/Leadership Agile Coach with 15.0+ years of experience in Technical Project Managers.. Proven expertise in Microsoft Project, Agile, Stakeholder Management, Budgeting, Risk Management, Project Management and SDLC.. Educated with Bachelor's in Business Administration from UC Berkeley.. Previously worked at Twilio where I implemented mission-critical solutions.. Built and managed 15 person engineering organization. Drove 30% revenue growth through technical innovation. Passionate about solving complex problems.. Looking for challenging roles where I can leverage my expertise in Microsoft Project.",15.0,"PMP, Agile, Project Management, Communication, SDLC, Strategic Planning, Scrum, Stakeholder Management",Bachelor's in Mathematics
DevOps Engineers Resumes,Cloud Engineer,"Junior To Mid-Level Cloud Engineer with 3.6+ years of experience in DevOps Engineers.. Proven expertise in Linux, Nginx, AWS, GCP, CI/CD and Azure.. Educated with Bachelor's in Software Engineering from Georgia Tech.. Previously worked at Bank of America where I architected high-availability solutions.. Implemented automated testing resulting in 46% reduction in bugs. Successfully delivered 7 projects using Azure and Nginx. Improved system performance by 22% through optimization. Collaborated with cross-functional teams on 5 major initiatives. Passionate about driving technical excellence.. Looking for challenging roles where I can leverage my expertise in GCP.",3.6,"Linux, Bash, GCP, CI/CD, Grafana, ELK Stack",PhD in Computer Science
DevOps Engineers Resumes,DevOps Engineer,"Principal/Leadership DevOps Engineer with 9.0+ years of experience in DevOps Engineers.. Proven expertise in Ansible, Prometheus, Jenkins, CI/CD and AWS.. Educated with Self-taught from Carnegie Mellon.. Previously worked at EY where I developed high-availability solutions.. Advised C-suite on technology strategy and digital transformation initiatives. Established engineering culture and processes across global teams. Built and managed 20 person engineering organization. Passionate about solving complex problems.. Looking for challenging roles where I can leverage my expertise in AWS.",9.0,"Helm, Nginx, GCP, Terraform, Ansible, Linux, Docker, Jenkins",Bachelor's in Information Technology
Data Analysts Resumes,Marketing Analyst,"Senior Marketing Analyst with 7.0+ years of experience in Data Analysts.. Proven expertise in Python, Excel, Machine Learning, Tableau, Data Visualization and R.. Educated with Master's in Data Science from Stanford.. Previously worked at Hewlett Packard where I developed mission-critical solutions.. Established engineering best practices adopted across 4 teams. Architected and led implementation of microservices handling 9M daily requests. Passionate about mentoring developers.. Looking for challenging roles where I can leverage my expertise in R.",7.0,"A/B Testing, Data Visualization, Python, Excel, SQL",Bachelor's in Software Engineering
Frontend Developers Resumes,Angular Developer,"Senior Angular Developer with 6.2+ years of experience in Frontend Developers.. Proven expertise in Redux, Angular, React, REST APIs, Vue.js, Storybook and UI/UX.. Educated with Bachelor's in Computer Science from MIT.. Previously worked at Cognizant where I led customer-facing solutions.. Spearheaded cloud migration project saving $216K annually. Drove technical strategy resulting in 21% increase in team velocity. Established engineering best practices adopted across 7 teams. Passionate about building innovative solutions.. Looking for challenging roles where I can leverage my expertise in REST APIs.",6.2,"TypeScript, Sass, CSS3, HTML5",PhD in Computer Science
QA Engineers Resumes,Manual Tester,"Junior To Mid-Level Manual Tester with 2.0+ years of experience in QA Engineers.. Proven expertise in TestNG, Scrum, Regression Testing, SQL and Python.. Educated with Master's in Artificial Intelligence from Cambridge.. Previously worked at Tata Consultancy where I managed enterprise-level solutions.. Implemented automated testing resulting in 31% reduction in bugs. Successfully delivered 12 projects using Regression Testing and Python. Collaborated with cross-functional teams on 4 major initiatives. Passionate about driving technical excellence.. Looking for challenging roles where I can leverage my expertise in Scrum.",2.0,"PyTest, JIRA, SQL, Cucumber, Test Automation, Agile, Scrum, Selenium",Self-taught
Mobile Developers Resumes,React Native Developer,"Principal/Leadership React Native Developer with 13.8+ years of experience in Mobile Developers.. Proven expertise in Flutter, Google Play, GraphQL, iOS, Swift, App Store and REST APIs.. Educated with Bachelor's in Information Technology from Harvard.. Previously worked at PwC where I implemented mission-critical solutions.. Built and managed 21 person engineering organization. Advised C-suite on technology strategy and digital transformation initiatives. Drove 52% revenue growth through technical innovation. Directed technology roadmap for 4 product portfolios. Passionate about mentoring developers.. Looking for challenging roles where I can leverage my expertise in iOS.",13.8,"iOS, Kotlin, Android, React Native, Google Play, Git, Mobile UI/UX",Bachelor's in Electrical Engineering
DevOps Engineers Resumes,Kubernetes Engineer,"Junior To Mid-Level Kubernetes Engineer with 3.7+ years of experience in DevOps Engineers.. Proven expertise in Nginx, Bash, CI/CD, Terraform, AWS and Helm.. Educated with Bachelor's in Electrical Engineering from Harvard.. Previously worked at Square where I developed enterprise-level solutions.. Collaborated with cross-functional teams on 6 major initiatives. Improved system performance by 20% through optimization. Successfully delivered 11 projects using Nginx and Helm. Implemented automated testing resulting in 24% reduction in bugs. Passionate about mentoring developers.. Looking for challenging roles where I can leverage my expertise in CI/CD.",3.7,"Jenkins, Docker, Python, AWS, Terraform, Azure",Bachelor's in Computer Science
Data Analysts Resumes,Analytics Engineer,"Mid-Level Analytics Engineer with 4.9+ years of experience in Data Analysts.. Proven expertise in Machine Learning, Tableau, Pandas, ETL, Data Analysis, R and Dashboard Creation.. Educated with Master's in Data Science from UC Berkeley.. Previously worked at Twitter where I implemented enterprise-level solutions.. Mentored 3 junior developers and conducted code reviews. Architected scalable solutions using Dashboard Creation and Dashboard Creation. Passionate about solving complex problems.. Looking for challenging roles where I can leverage my expertise in Dashboard Creation.",4.9,"SQL, Excel, Python, Statistics",Bachelor's in Business Administration
Data Analysts Resumes,Analytics Engineer,"Entry-Level Analytics Engineer with 1.0+ years of experience in Data Analysts.. Proven expertise in Data Visualization, Python, NumPy, Power BI, Statistics and Excel.. Educated with Bachelor's in Information Technology from Oxford.. Previously worked at Capgemini where I architected enterprise-level solutions.. Contributed to agile development team delivering 3 features. Demonstrated proficiency in Power BI and NumPy. Developed 4 applications using Statistics and Excel. Passionate about driving technical excellence.. Looking for challenging roles where I can leverage my expertise in Python.",1.0,"Big Data, SQL, Tableau, Power BI, Python, Dashboard Creation",Bachelor's in Information Technology
Data Analysts Resumes,Business Intelligence Analyst,"Mid-Level Business Intelligence Analyst with 5.6+ years of experience in Data Analysts.. Proven expertise in Pandas, Python, R, ETL, A/B Testing and SQL.. Educated with Self-taught from Carnegie Mellon.. Previously worked at Tata Consultancy where I led mission-critical solutions.. Mentored 4 junior developers and conducted code reviews. Reduced deployment time by 51% through CI/CD pipeline optimization. Architected scalable solutions using Python and Pandas. Managed technical debt reduction initiatives saving 131 developer hours monthly. Passionate about building innovative solutions.. Looking for challenging roles where I can leverage my expertise in R.",5.6,"R, Power BI, Excel, Data Visualization",Master's in Data Science
Backend Developers Resumes,Node.js Developer,"Mid-Level Node.js Developer with 5.0+ years of experience in Backend Developers.. Proven expertise in Microservices, Django, REST APIs, MySQL, Java and Kafka.. Educated with Bachelor's in Electrical Engineering from Georgia Tech.. Previously worked at Intel where I led scalable solutions.. Architected scalable solutions using Django and Microservices. Managed technical debt reduction initiatives saving 161 developer hours monthly. Mentored 3 junior developers and conducted code reviews. Reduced deployment time by 38% through CI/CD pipeline optimization. Passionate about driving technical excellence.. Looking for challenging roles where I can leverage my expertise in Django.",5.0,"Kubernetes, MongoDB, Node.js, AWS",MBA
Frontend Developers Resumes,Vue.js Developer,"Mid-Level Vue.js Developer with 4.7+ years of experience in Frontend Developers.. Proven expertise in Responsive Design, UI/UX, GraphQL, HTML5, Webpack, CSS3 and Redux.. Educated with Master's in Computer Science from Oxford.. Previously worked at Zoom where I architected customer-facing solutions.. Managed technical debt reduction initiatives saving 184 developer hours monthly. Led development of 4 high-impact features serving 82621+ users. Mentored 3 junior developers and conducted code reviews. Passionate about driving technical excellence.. Looking for challenging roles where I can leverage my expertise in Redux.",4.7,"TypeScript, Angular, Vue.js, Redux, Responsive Design, JavaScript, HTML5",PhD in Computer Science
QA Engineers Resumes,Performance Tester,"Mid-Level Performance Tester with 4.9+ years of experience in QA Engineers.. Proven expertise in JavaScript, Cucumber, Python, PyTest, Regression Testing and Selenium.. Educated with Bachelor's in Mathematics from Harvard.. Previously worked at Zoom where I developed mission-critical solutions.. Managed technical debt reduction initiatives saving 168 developer hours monthly. Led development of 5 high-impact features serving 26354+ users. Architected scalable solutions using PyTest and JavaScript. Mentored 4 junior developers and conducted code reviews. Passionate about driving technical excellence.. Looking for challenging roles where I can leverage my expertise in JavaScript.",4.9,"Cucumber, JUnit, Test Automation, PyTest, SQL, Scrum",Bachelor's in Electrical Engineering
Backend Developers Resumes,Spring Boot Developer,"Junior To Mid-Level Spring Boot Developer with 3.1+ years of experience in Backend Developers.. Proven expertise in Redis, Django, Docker, REST APIs, MySQL, Microservices and Spring Boot.. Educated with Bachelor's in Business Administration from Cambridge.. Previously worked at Twilio where I led mission-critical solutions.. Implemented automated testing resulting in 48% reduction in bugs. Collaborated with cross-functional teams on 4 major initiatives. Successfully delivered 8 projects using Docker and Microservices. Improved system performance by 34% through optimization. Passionate about solving complex problems.. Looking for challenging roles where I can leverage my expertise in MySQL.",3.1,"Django, RabbitMQ, PostgreSQL, Java",Master's in Information Systems
Data Analysts Resumes,Business Intelligence Analyst,"Mid-Level Business Intelligence Analyst with 4.2+ years of experience in Data Analysts.. Proven expertise in Tableau, Big Data, Excel, NumPy, Data Analysis and Machine Learning.. Educated with Bachelor's in Mathematics from Stanford.. Previously worked at Twitter where I architected mission-critical solutions.. Led development of 6 high-impact features serving 73152+ users. Reduced deployment time by 31% through CI/CD pipeline optimization. Passionate about solving complex problems.. Looking for challenging roles where I can leverage my expertise in Excel.",4.2,"Statistics, R, Tableau, Power BI, Pandas, A/B Testing, Big Data, ETL",Master's in Computer Science
DevOps Engineers Resumes,Cloud Engineer,"Entry-Level Cloud Engineer with 1.8+ years of experience in DevOps Engineers.. Proven expertise in ELK Stack, Linux, Azure, Bash, Jenkins, Nginx and Kubernetes.. Educated with Bachelor's in Electrical Engineering from Carnegie Mellon.. Previously worked at Zoom where I developed customer-facing solutions.. Demonstrated proficiency in Kubernetes and Bash. Contributed to agile development team delivering 3 features. Completed 1 internships gaining practical industry experience. Passionate about building innovative solutions.. Looking for challenging roles where I can leverage my expertise in Bash.",1.8,"CI/CD, Helm, Prometheus, Docker, Nginx",Bachelor's in Business Administration
